id,text,author_username,response_score,response_sentiment,response_tickers,created_at,updated_at
1820024968572215592,"Nothing better than posting on a red day and seeing my comments erupt into various forms of cope about me posting on a red day

It warms my soul and makes me losing money sting a lot less",CryptoDonAlt,5.0,Neutral,NaN,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
1842152482836738271,"RT @0xJim: no babe your @_kaitoai mindshare score is perfect, the big ones scare me",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1838110350191054894,"In hindsight, this was one of the clearest signals: resilience in both mindshare and dev activities, regardless of what prices do 

$TAO is truly in a league of its own",_kaitoai,7.0,Positive,"$TAO, tao",2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1836657288746242195,"Our CEO @Punk9277 on stage for #Token2049 

Talking all things data and research with @mewwts &amp; @ASvanevik 🔥 https://t.co/eokbrzFXdR",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1836266749353955576,"Here at the @caladanxyz office for our Marketing Mixer!

Marketing and growth are essential to crypto success, so it’s great to hear from so many top names.

Thanks all for joining! 🇸🇬 https://t.co/Enpual6GBz",_kaitoai,5.0,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1835649016639406095,CT mentions of Singapore go brrrrrrr https://t.co/2wcbsWm3rI,_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1835549550536167557,"Around for #Token2049 and want to meet up?

The Kaito team is here in Singapore 🇸🇬

Drop us a dm! 🫡",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843671877203702098,"Memes with the most mindshare in the past 7 days:

1) MOODENG
2) $POPCAT
3) $FWOG
4) $PEPE
5) $COBY

WIF outside of the top 10 👀 https://t.co/EGq0ClYsFc",_kaitoai,,Neutral,"$POPCAT, $PEPE",2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1834597195183448227,"Memecoin mindshare 4x'd in a month back in March.

Do we get back to that level of hype again? https://t.co/qxI4rmoqP3",_kaitoai,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1834558061941289022,"Arbitrum was the dominant L2, until Base arrived.

Slightly ahead on mindshare now. https://t.co/qezq02vBX3",_kaitoai,5.0,Neutral,arb,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827414408668041498,Me and my pet rock https://t.co/qhOszqPKvz,CryptoDonAlt,,NaN,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843625590223462472,"Murad's vs. Ansem's mindshare this week.

The passing of the (meme) sword. https://t.co/yOFEDThTPm",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843597105547325548,"Maybe one to watch - @zoodotfun.

Account created yesterday.

 Shortly after, followed by Luca, Icebergy &amp; more. https://t.co/9opyilG4OU",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843580742670135642,"Be like $SUI

- Sentiment ATH
- Mindshare ATH
- Price approaching ATH

Sometimes you simply don't fade the hype. https://t.co/EzSisbz06H",_kaitoai,8.0,Positive,SUI,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843285249490587718,"11/ AI Copilot

Turn your analysis into a conversation with an AI assistant.

Get the answers you need for even the most specific questions, indexing content across all the top sources in crypto.

Entirely customisable for the highest precision.

https://t.co/ogjoX8TkGK",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1842145016799498735,"The top 10 accounts for DeFi mindshare over the past 12 months.

@DeFi_Dad &amp; @DefiIgnas living up to their names 🔥 https://t.co/Nq1rNm3a9h",_kaitoai,,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841880938780795007,RT @vohvohh: Top crypto KOLs by mindshare https://t.co/jUCOClFj9Y,_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841876133408616478,Belief in Uptober lasted 3 days 💀,_kaitoai,5.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841852117864054856,"Aptos one of the top gainers for mindshare today.

With SUI pumping so hard and good recent news, feels surprising to see $APT lag so much in comparison.

Maybe eventually innit. https://t.co/1hOW2Q4iLH",_kaitoai,5.0,Neutral,"$APT, sui",2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841824015502999943,"You think you're on CT a lot until you see @blknoiz06's tweet count.

Over 30,000 tweets in the past 12 months. https://t.co/OvOUKuWYxP",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841803487564210354,"Solana: Centralized or Decentralized?

Here's a summary of the arguments made on CT over the past few days.

Gotta appreciate @0xMert_'s fast typing. https://t.co/4sObO0AEM7",_kaitoai,,Neutral,"sol, Solana",2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841778881637785741,"Memecoins on SUI quietly flying.

$KOI more than 10x'd over the last 24hrs, and smart followers found it 2 days ago.

@0xdetweiler probably the best at finding projects I'vs seen - a must follow. https://t.co/k6QO10TOq4",_kaitoai,7.0,Positive,"$KOI, sui",2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841758340201734575,How we feeling about October 3 days in?,_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841528577092710534,"In times of war, investors buy... POPCAT.

Insane strength &amp; pushing for ATHs 🐈 https://t.co/w3gnYOdFEW",_kaitoai,8.0,Positive,popcat,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841460343664517427,"How to find airdrop opportunities?

Track who the VCs are following.

Few. https://t.co/xI5ES7VqCb",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1820381770874810725,"$BTC

This my chart anyway https://t.co/lmgNFxFHYH",CryptoDonAlt,,Neutral,btc,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841429479404540048,"There are must follows when things turn bullish.

@theunipcs is one of them.

Unipcs' mindshare on the up. https://t.co/eZT9uMKd84",_kaitoai,5.0,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841397778183844247,"The $DEGEN price and mindshare chart.

This time, do not zoom out. https://t.co/Lbc6b9b84g",_kaitoai,,Neutral,$DEGEN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841146323732427120,"Over 2000 tweets about Uptober in the last 30 days.

It was simply inevitable we'd dump on day one. https://t.co/43y4k77Siu",_kaitoai,5.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841067509283221971,"I vote for Uptober without mentioning it.

Some of the tweets... https://t.co/pE518E4Rzs",_kaitoai,,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841062321478586798,"RT @0xMert_: first, I would like to thank god, bankless, and early onset male pattern baldness for getting me to #1 crypto KOL in the past…",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841046030537634042,"Price at range lows + low mindshare.

Often a good combination for memecoins. https://t.co/6ThIEkGO82",_kaitoai,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841031042922115552,".@eigenlayer firmly leading the restaking pack.

Over 50% of mindshare versus the other top names in the past 30 days.

Interesting to see how it sustains with $EIGEN. https://t.co/A5HIbPHTGM",_kaitoai,5.0,Neutral,$EIGEN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840778440535933315,"Crypto and AI.

🫳

🎤",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841107174413435348,"Introducing our new podcast: The Crypto Roundup.

Entirely curated, and spoken by, AI - yes, even the speakers.

Listen to high-signal daily summaries of all the key events in crypto on any given day, powered by Kaito.

Another way to make your workflow more efficient.",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841107177890586665,"We'll be uploading daily to our Spotify below.

👉 https://t.co/2AtghfBVzg

Or, for text summaries to go alongside, join our Overheard on CT channel for even more details!

👉 https://t.co/aQlibfLgh8 https://t.co/T0w0pgCfEW",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840750081894412561,"All the talks from #Token2049, now indexed on Kaito 🔥

Get transcripts, recordings, and TLDRs to make sure you don't miss out on any of the alpha.

A thread summarising some of the top ones 🧵 https://t.co/KwUoLFFNXf",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840750098956865611,"6/ How can I not feature a Kaito talk?

Surfacing Signal from Noise, with our CEO @Punk9277, @ASvanevik &amp; @mewwts.

Summarising the importance of data and research 👇 https://t.co/X3YKxvPTEJ",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840750102777872511,"7/ Lastly, featuring our very own @sandraaleow

Memecoins: Fleeting Trend or Crypto Evolution?

With @MustStopMurad, @blknoiz06, @mdudas and @ag_dwf. https://t.co/82fJAWw9FF",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840722029365854516,"Another L for midcurvooors.

$SUI up ~3x since the @RaoulGMI thread.

Many faded, including me. https://t.co/cASPsPQ0Sw",_kaitoai,7.0,Positive,$SUI,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840672569294213135,"Moodeng mindshare goes brrrrrrr.

4th across all of crypto over the past 7 days. https://t.co/4HZgexDVHv",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1839598052249878937,"Solana Breakpoint 2024 - the FINAL MEGA summary you've been waiting for.

We’ve distilled every key moment for you - 
- 75 product keynotes
- 14 debates
- 14 keynotes
and more

READ MEGA SUMMARY HERE 👉 https://t.co/e1aLbS1NS1

There's even an AI-generated podcast 👀 https://t.co/D63mou60kO",_kaitoai,,Neutral,"sol, Solana",2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1838182368412340730,"👀👀

■■■■■■□□□□...",_kaitoai,,NaN,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1838164136724938959,"129 talks at Solana Breakpoint - all indexed on Kaito with transcripts, slides and TLDRs 

75 product keynotes
14 debates
14 keynotes
12 technical talks
6 workshops
8 fireside chats

SO MUCH alpha. 

we will unpack it to you all over the coming days (👀 @sandraaleow) https://t.co/Y4XWxpKRnT",_kaitoai,5.0,Positive,sol,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840750095924396422,"5/ Crypto Tokens in the Age of AGI with @ercwl

How AGI/AI will be important to crypto 👇 https://t.co/yFzO8gYbTy",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1842848578194071691,https://t.co/kPOg5ReUnn,CryptoDonAlt,,NaN,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1842199186520809803,😴 https://t.co/crambx8MNz,CryptoDonAlt,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841155017811562902,"I am now an advocate for world peace

Because it's the right thing to do and also because my bags need it apparently",CryptoDonAlt,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840706631685849117,"Wife owns an apartment in France

Squatters came in, threatened other inhabitants in the building with guns to make them leave, once they do the squatters play landlord and rent the apartments out to other squatters

Western laws don't cater to insane people, it is wild to watch",CryptoDonAlt,8.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1839706912490676514,ETH green? https://t.co/NqmD3klvEz,CryptoDonAlt,,Neutral,eth,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1839672453020221510,Hehe https://t.co/cfum9OWwku,CryptoDonAlt,,NaN,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1838218840636821541,New paradigm confirmed https://t.co/QkZHegfrSy,CryptoDonAlt,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1837424562197188701,"Sooo what did I actually miss in the last month?
Can someone give me a quick rundown",CryptoDonAlt,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1837222865030238647,"Can't believe my strategy to just go on vacation while hodling actually worked

Didn't even check the market more than once or twice a week

Looks like I missed absolutely nothing",CryptoDonAlt,3.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1828774019468013611,"Just gonna ignore PA and go on vacation
What could possibly go wrong, see you in 4 weeks https://t.co/9FlqCFugwN",CryptoDonAlt,3.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1828433242543870447,"Market starts to look like poo under $61k

Would be gud if that held, otherwise, we might get to eat a shit sandwich soon https://t.co/7sZcfM765u",CryptoDonAlt,6.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1841413478935883879,"Scrolling the timeline and everyone is acting like we just went to zero

Considering the circumstances BTC could look much worse on higher timeframes to be honest

I'll at least wait for the weekly close to make up my mind https://t.co/k6reTR7Zty",CryptoDonAlt,5.0,Neutral,btc,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843301212789325878,"5 days ago when I tweeted this the timeline was ""Oh it's so over"" at support

Now all I see is people balls-deep shilling whatever garbage they can find

This place never changes https://t.co/cB4sCM7VoP",CryptoDonAlt,5.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1837375444615585957,Bears are very very close to being wrong here https://t.co/IE8KT1KPJZ,CryptoDonAlt,5.0,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1839343337134067802,Bears sweating blood https://t.co/qpbvYbJGfS,CryptoDonAlt,5.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1839203103763034572,Looks like I'm gonna be a dad of two,CryptoDonAlt,,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1826996882968662310,"In today's episode of Crypto Twitter:

Jackson Hole &amp; Liquidating Kole",_kaitoai,,Neutral,NaN,2024-10-10 05:20:39.349946,2024-10-10 05:20:39.349946
1838463674488438858,"Half of my comments are AI-generated now, the other half is the old generic bots we've always had

Thanks Elon",CryptoDonAlt,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1838641836467843555,"Been thinking about this

Twitter is probably just early, I guess in the future it'll become harder and harder to figure out if you're talking to a human or a bot online

At some point, the entire internet will probably just be 99.99% bots with the occasional human sprinkled in",CryptoDonAlt,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1838643787003785519,"The internet will probably exist longer than humanity does and we got to experience the only handful of years in which it was just us using it

Kind of wild to think about, it's like being part of the generation that got to wield fire first",CryptoDonAlt,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827605259172147369,"First attempt at making a higher low vs
Many lower highs https://t.co/lJCYy3o3Vn",CryptoDonAlt,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1828460005860716944,This is where it starts getting interesting https://t.co/aLtpdSqxAF,CryptoDonAlt,,NaN,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1828108012843876831,"Vitalik: I don't like unsustainable schemes, ponzis and P&amp;Ds and prefer things that could drive the world forward
CT: How dare he!
CT: He doesn't even understand what this space is about
CT: Fuck him

I knew y'all loved your ponzis but this much? Bit surprising to me",CryptoDonAlt,8.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1828088345899212995,"Sentiment is bad enough for a bottom but the way people jump back into risk every time we get a little upswing has me a bit concerned

Might just chop until market participants are tired of the relentless P&amp;Ds

I'm not sure, I'll remain bullish unless/until we start losing $58k",CryptoDonAlt,5.0,Negative,btc,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1828036855532859800,"If you all focus on pumping the majors you'll have more fun in alts down the line

Instead everyone is just going from being bearish to buying the biggest trash they can find

Cursed how that works",CryptoDonAlt,5.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827684441876988049,"Easiest way to out yourself as a newbie or a shit trader is saying someone missed something

Every day you miss infinite opportunities
You could've gotten rich with NVDIA, TSLA, GME, BTC, ETH and a million others

You make money? You're good
You don't? You're not
Simple as that",CryptoDonAlt,5.0,Neutral,"btc, eth",2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827403224103411974,"I shorted SOL from 183 to 160 before it went to 110

And I was coping about having closed 160 all the way back up, feels so much better now that it's trading above even when I don't have a position

Am I the only retard that thinks this way?",CryptoDonAlt,5.0,Neutral,sol,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827400225331540354,"I simply like $BTC and I simply like $ETH

You can like whatever you want, me?
I like those two
I trade others, but those two are special in my book",CryptoDonAlt,5.0,Positive,"btc, eth",2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827285151388155945,"SOL as the altcoin market leader of this cycle hugging support was one of the things that had me worried about whether my thesis on up was right

This strength makes me less worried

Just need to maintain strength going into next week and it looks like the tides are shifting https://t.co/yNQe6JdZbm",CryptoDonAlt,6.0,Positive,sol,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827243913398083722,"People have this weird urge to fade things whenever they've missed it

Most of the time that's a bad idea, you're essentially fading strength/weakness because you're too insecure to admit you messed up

Much better to just accept the move and recalibrate than it is to fight it",CryptoDonAlt,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827137993276002344,"Bulls bull post for months? BTC ranges
Duck bull posts for a week? Giga up

You really can't explain that",CryptoDonAlt,5.0,Neutral,btc,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827051329157525705,"The weekly is all that stands in the way of new ATHs IMO
I've decided to simply ignore it even though it's usually my favorite timeframe

This is why I went bull at $58k because I'd have hated to open new longs into this resistance
Eyes closed, pray, cut if sub $58k https://t.co/ZhzK0oukiT",CryptoDonAlt,5.0,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827050345949737343,"Best part about flipping bull is that it makes the minds of the retards that were shitting on me for being bearish before explode

Their sworn enemy is now on their side? They simply can't cope with it
Too many forget it's called trading, not cheerleading",CryptoDonAlt,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827044007681155361,"$BTC

I mean... https://t.co/IptAcsLxm6",CryptoDonAlt,,Neutral,btc,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827043239704326374,$63k never felt better,CryptoDonAlt,,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1826896048347898335,"No lines no nothing
People are too bored to look but this ain't half bad
If this doesn't go up, I'm not wrong, the market is https://t.co/oiRbIybP2i",CryptoDonAlt,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827053428214001827,Sometimes it's as easy as just looking at the chart without anything on it https://t.co/Dq6blMQYHj,CryptoDonAlt,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1827140341662646680,"The easy part is over now, think this area is where it becomes much more difficult given we're deep into HTF resistance now while also trading into the weekend

Fresh positions probably gotta be nimble here https://t.co/8tGP7KT980",CryptoDonAlt,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1826991090131407314,https://t.co/2OIMaq7hp8,CryptoDonAlt,,NaN,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1838181269676720324,".@openkaito taking a major step forward - 

come and join us in shaping and buliding the best performing and most general-purpose text embedding model in the world 🫡",_kaitoai,5.0,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1826911692590080023,"I used to buy a Logitech mouse, use it for 15 years and it'd work like it was brand new

Nowadays I buy a mouse, use it for 1-2 years and then it breaks

Bring back the good old days https://t.co/iYr9lt3EXH",CryptoDonAlt,3.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1826346795615891519,Feels so good when the market actually goes up,CryptoDonAlt,7.0,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1826315674848731373,It's so over https://t.co/kZUJsXhGFs,CryptoDonAlt,,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1826242292916822516,"Look at the monthly
Holy shit bears are fucked

Look at the weekly
Holy shit bulls are fucked

Look at the daily
Holy shit bears are fucked https://t.co/PRkYWxBwqa",CryptoDonAlt,5.0,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1826240739569025290,We're all in various stages of pre-insane,CryptoDonAlt,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1825608508806672461,Wtf they doing over there https://t.co/vsW5xMt5Mn,CryptoDonAlt,,Negative,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1825225395907805303,"Gonna be in Japan for a month with waifu and baby next month

Any places you guys can recommend?
Any family-friendly activities?
Cities?

Gib advice please",CryptoDonAlt,1.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843315602578161926,"Murad's mindshare up and to the right.

Making it with memes. https://t.co/TrEmiv2FZL",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1819400984503734572,"The fed should simply tweet...

4. https://t.co/r0biNbAits",_kaitoai,,NaN,NaN,2024-10-10 05:20:39.349946,2024-10-10 05:20:39.349946
1843251037404283349,"$TAO currently at ~50% of all crypto AI mindshare.

Once 2.92% of Grayscale's AI fund, now 29.55%.

Bittensor on top. https://t.co/1nWds08Cxo",_kaitoai,7.0,Positive,$TAO,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843282604113764845,"Stop wasting time.

Start turning days of research, analysis and social listening into minutes.

An overview of Kaito - the ultimate thread 🧵 https://t.co/6Q8pooeROT",_kaitoai,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843285163771666915,"10/ Catalyst Calendar

Track events and catalysts for 2000+ tokens across crypto.

Unlocks, product launches, tokenomics changes, TGE, governance votes, and more.

Entirely curated using AI, meaning you get all the information in real-time. https://t.co/6koKrOmgjO",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843215784467984622,"POPCAT is indeed popping.

4th for mindshare across all of crypto today.

And the charts look like this - purrrfect innit. https://t.co/uMdepaPOD6",_kaitoai,5.0,Positive,popcat,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1843195759434531250,"Welcome to meme season.

Mindshare now at a yearly high for memecoins. https://t.co/XaugZax2fh",_kaitoai,5.0,Positive,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1842207172039524763,"Pretty hilarious chart.

Mentions of ""believe in something"" on CT.

Trending since the BTC top in March - and the market has been cooked ever since. https://t.co/lN5CfO5iPF",_kaitoai,5.0,Negative,btc,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1842169232848478208,"Mindshare, sentiment &amp; smart followers.

Key metrics - all available on Kaito.

@SeiNetwork showing the way 🫡",_kaitoai,,Positive,sei,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1835686771348173288,"Building towards our next big thing.

Powered by @openkaito 👀",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1842107557919297621,"If you aren't tracking your Smart Followers...

What are you even doing? https://t.co/FTKxssZnOG",_kaitoai,,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840694419382542755,"The battle of Vitalik, Mert & Ansem.

Welcome to our brand new feature, KOL (booo bad word) Mindshare.

Find out which accounts are the most prominent on CT at any time, and for key topics.

Whether you’re finding people to partner with, or people to follow, this is a game changer.

Start curating who you work with, and the people to take notice of - we can also run customised timeframes, details and verticals for specific requests too.

Some examples:

Over the last 6 months across all CT discussions, the most prominent accounts:
- @VitalikButerin
- @0xMert_
- @blknoiz06
- @jessepollak
- @Tyler_Did_It

The most prominent for DeFi over the last 7 days:
- @0xSalazar
- @StaniKulechov
- @Only1temmy
- @Arthur_0x
- @ryanology045

The most prominent for Chain Abstraction over the last 30 days:
- @ayyyeandy
- @vaibhavchellani
- @0xNairolf
- @stacy_muur
- @zerokn0wledge_",_kaitoai,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1840660278448394741,"Every time I take vacation the market pumps.

Sorry to say, today I am back at work.

gkaito 🤝",_kaitoai,5.0,Neutral,NaN,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
1820523341188632852,"People are so funny on here

A coin goes down 70% while BTC goes down 20%
BTC bounces 10%, that coin bounces 30%

""Look at that relative strength, so bullish""
Brother, you're trading levered BTC, obviously it's gonna bounce more, that's how this shit works",CryptoDonAlt,5.0,Neutral,btc,2024-10-09 04:11:39.506211,2024-10-09 04:11:39.506211
